Segment Code;Segment Description;Family Code;Family Description;Class Code;Class Description;Brick Code;Brick Description;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181500;Hygiène Buccale;10000336;Prothèses Dentaires/Orthodontiques – Entretien;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181500;Hygiène Buccale;10000337;Prothèses Dentaires/Orthodontiques – Nettoyage;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181500;Hygiène Buccale;10000536;Rafraîchisseur d’Haleine/Bains de Bouche;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181500;Hygiène Buccale;10000363;Soins Buccaux – Accessoires;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181500;Hygiène Buccale;10000781;Soins Buccaux – Outils (Électriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181500;Hygiène Buccale;10000384;Soins Buccaux – Outils (Non Electriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181500;Hygiène Buccale;10005839;Soins Buccaux–Dentaires – Brosse/Nettoyant/Stockage (Electrique);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181300;Incontinence Adulte;10000713;Assortiment de Produit pour l'Incontinence Adulte;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181300;Incontinence Adulte;10000784;Autres Produits pour l'Incontinence Adulte;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181300;Incontinence Adulte;10000321;Incontinence Adulte – Fournitures;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181300;Incontinence Adulte;10000481;Incontinence Adulte – Protections;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181300;Incontinence Adulte;10000709;Incontinence Adulte – Sous–vêtements (Jetable);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181300;Incontinence Adulte;10000710;Incontinence Adulte – Sous–vêtements (Non–jetable);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181200;Produits pour l'Hygiène Féminine/l'Allaitement;10000362;Accessoire pour l'Allaitement;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181200;Produits pour l'Hygiène Féminine/l'Allaitement;10000714;Assortiments de Produits pour l'Hygiène Féminine/l'Allaitement;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181200;Produits pour l'Hygiène Féminine/l'Allaitement;10000785;Autres Produits pour l'Hygiène Féminine/l'Allaitement;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181200;Produits pour l'Hygiène Féminine/l'Allaitement;10000344;Hygiène Féminine – Accessoires;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181200;Produits pour l'Hygiène Féminine/l'Allaitement;10000482;Hygiène Féminine – Coupes;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181200;Produits pour l'Hygiène Féminine/l'Allaitement;10000483;Hygiène Féminine – Protège–slips;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181200;Produits pour l'Hygiène Féminine/l'Allaitement;10000376;Hygiène Féminine – Serviettes;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181200;Produits pour l'Hygiène Féminine/l'Allaitement;10000320;Hygiène Féminine – Tampons;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181100;Produits pour l'Hygiène Personnelle Générale;10000338;Anti–transpirants/Déodorants;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181100;Produits pour l'Hygiène Personnelle Générale;10000715;Assortiments de Produits pour l'Hygiène Personnelle Générale;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181100;Produits pour l'Hygiène Personnelle Générale;10000786;Autres Produits pour l'Hygiène Personnelle Générale;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181100;Produits pour l'Hygiène Personnelle Générale;10000485;Mouchoirs en Papier (Jetables);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181100;Produits pour l'Hygiène Personnelle Générale;10000375;Papiers Hygiéniques;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181100;Produits pour l'Hygiène Personnelle Générale;10000341;Produits de Soins du Nez/des Oreilles;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53180000;Produits d'Hygiène Personnelle;53181100;Produits pour l'Hygiène Personnelle Générale;10000335;Produits en Coton Hydrophile;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131400;Assortiments de Produits pour la Peau;10000717;Assortiments de Produits pour la Peau;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131100;Produits de Soin de la Peau;10000721;Assortiments de Produits de Soin de la Peau;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131100;Produits de Soin de la Peau;10000812;Autres Produits de Soin de la Peau;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131100;Produits de Soin de la Peau;10005727;Baume à Lèvres;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131100;Produits de Soin de la Peau;10000342;Exfoliants/Masques;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131100;Produits de Soin de la Peau;10006275;Hydratant Après–Solaire;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131100;Produits de Soin de la Peau;10000808;Nettoyants/Démaquillants (Électriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131100;Produits de Soin de la Peau;10000332;Nettoyants/Démaquillants (Non Electriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131100;Produits de Soin de la Peau;10000806;Outils Anti–Boutons (Électriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131100;Produits de Soin de la Peau;10000327;Outils Anti–Boutons (Non Electriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131100;Produits de Soin de la Peau;10000374;Poudres Séchantes pour la Peau;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131100;Produits de Soin de la Peau;10000356;Produit de Soin de la Peau/Hydratant;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131100;Produits de Soin de la Peau;10000484;Produits Astringents;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131100;Produits de Soin de la Peau;10000719;Rafraîchisseurs pour le Visage/Brumisateurs;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131100;Produits de Soin de la Peau;10000810;Soin de la Peau – Pièces de Rechange;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131100;Produits de Soin de la Peau;10000324;Soins Après–rasage;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131200;Produits pour le Bronzage;10000723;Assortiment de Produits pour le Bronzage;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131200;Produits pour le Bronzage;10000814;Autres Produits pour le Bronzage;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131200;Produits pour le Bronzage;10000388;Produits Accélérateurs de Bronzage;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131200;Produits pour le Bronzage;10000731;Produits Bronzants – Oraux (Non Electriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131200;Produits pour le Bronzage;10000355;Produits Bronzants – Topiques (Non Electriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131200;Produits pour le Bronzage;10000809;Produits Bronzants (Électriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131200;Produits pour le Bronzage;10000373;Produits de Protection du Soleil;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131200;Produits pour le Bronzage;10000811;Produits pour le Bronzage – Pièce de Rechange;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131300;Produits pour le Nettoyage du Corps;10000334;Accessoires pour le Nettoyage/la Toilette – Personnel;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131300;Produits pour le Nettoyage du Corps;10000328;Additifs pour Bain;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131300;Produits pour le Nettoyage du Corps;10000722;Assortiment de Produits pour le Nettoyage du Corps;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131300;Produits pour le Nettoyage du Corps;10000813;Autres Produits pour le Nettoyage du Corps;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131300;Produits pour le Nettoyage du Corps;10000573;Lingettes– Personnel;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53130000;Produits pour la Peau;53131300;Produits pour le Nettoyage du Corps;10000330;Nettoyage/Toilette/Savon – Personnel;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53200000;Produits pour le Corps;53201000;Systèmes Tonifiants/de Massage pour le Bain;10000668;Assortiments de Produits Tonifiants/de Massage pour le Corps;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53200000;Produits pour le Corps;53201000;Systèmes Tonifiants/de Massage pour le Bain;10000760;Autres Produits Tonifiants/de Massage pour le Corps;;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53200000;Produits pour le Corps;53201000;Systèmes Tonifiants/de Massage pour le Bain;10000759;Produits pour le Massage/Chauffants (Électriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53200000;Produits pour le Corps;53201000;Systèmes Tonifiants/de Massage pour le Bain;10000566;Produits pour le Massage/Chauffants (Non Electriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53200000;Produits pour le Corps;53201000;Systèmes Tonifiants/de Massage pour le Bain;10000567;Produits Raffermissants/Tonifiants pour le Corps (Electriques);;;;;;;;
53000000;Beauté/Soin Personnel/Hygiène;53200000;Produits pour le Corps;53201000;Systèmes Tonifiants/de Massage pour le Bain;10000807;Systèmes Tonifiants/de Massage pour le Bain;;;;;;;;
