<ID>;<Name>;ATPD_PICT_EUROFEUILLE;ATPD_PICT_AB_AGRI_BIO;photo_id;media_url
P02000000000NWG;BIO EVEIL CROISSANCE 6X1L;Oui;Oui;MEDIASTEP146573272;https://media.auchan.fr/MEDIASTEP146573272_0x0/
P02000000000QMG;AUC BABY BIO CROISSANCE 6X1L;Oui;Oui;MEDIASTEP97958769;https://media.auchan.fr/MEDIASTEP97958769_0x0/
P02000000000TN6;BIO CANDIA BABY CROISSANCE 3JUMBO  24X25CL;Oui;Oui;MEDIASTEP105961372;https://media.auchan.fr/MEDIASTEP105961372_0x0/
A0220100823000042544;BIO JARD BIO QUINOA CHATA 160G;Oui;Oui;MEDIASTEP58558327;https://media.auchan.fr/MEDIASTEP58558327_0x0/
A0220100823000042526;BIO JARD BIO TABOULE ORIE 160G;Oui;Oui;MEDIASTEP104548328;https://media.auchan.fr/MEDIASTEP104548328_0x0/
A0220100823000042520;BIO COTE BIO CHOU CAROTTE 160G;;;MEDIASTEP58558326;https://media.auchan.fr/MEDIASTEP58558326_0x0/
A0220080703000011934;BIO GIRAUDET QUENEL NATURE X16;Oui;Oui;MEDIASTEP97933879;https://media.auchan.fr/MEDIASTEP97933879_0x0/
A0219990127000659099;BIO GIRAUDET QUENEL NAT 4X80G;Oui;Oui;MEDIASTEP97933865;https://media.auchan.fr/MEDIASTEP97933865_0x0/
A0220110428000364267;BIO JARDIN TARTE SAUMON 2X115;Oui;Oui;MEDIASTEP104548330;https://media.auchan.fr/MEDIASTEP104548330_0x0/
A0220120709000036682;BIO JARDIN PIZZA ROYALE 400G;Oui;Oui;MEDIASTEP104548334;https://media.auchan.fr/MEDIASTEP104548334_0x0/
A0220110408000048189;BIO JARDIN TARTE PROV 2X115G;Oui;Oui;MEDIASTEP104548329;https://media.auchan.fr/MEDIASTEP104548329_0x0/
A0220141210000801684;BIO ST JEAN RAVIOLE EMMENT240G;;Oui;MEDIASTEP65167980;https://media.auchan.fr/MEDIASTEP65167980_0x0/
A0220141210000801673;BIO ST JEAN GNOCCHI A POEL300G;Oui;Oui;MEDIASTEP140291804;https://media.auchan.fr/MEDIASTEP140291804_0x0/
A0220120410000037046;BIO ST JEAN QUENELLE NAT 4X80G;Oui;Oui;MEDIASTEP60112082;https://media.auchan.fr/MEDIASTEP60112082_0x0/
A0220101126000043271;BIO ST JEAN POLENTA 6X40G;Oui;Oui;MEDIASTEP97933984;https://media.auchan.fr/MEDIASTEP97933984_0x0/
A0220101126000041434;BIO ST JEAN TAGLIATELLE 250G;Oui;Oui;MEDIASTEP92111162;https://media.auchan.fr/MEDIASTEP92111162_0x0/
A0220090210000025540;AUCHAN BIOD GNOCCHIS 300G;Oui;;MEDIASTEP84471525;https://media.auchan.fr/MEDIASTEP84471525_0x0/
A0220110321000040697;AUCHAN BIOD GALET BLE NOIR X4;Oui;;MEDIASTEP58270778;https://media.auchan.fr/MEDIASTEP58270778_0x0/
A0220100222000648350;BIO BROC CREP BRETONNE X6 240G;Oui;Oui;MEDIASTEP69450633;https://media.auchan.fr/MEDIASTEP69450633_0x0/
A0220100319000650530;BIO BIORIGIN GNOCCHI 500G;Oui;;MEDIASTEP97934160;https://media.auchan.fr/MEDIASTEP97934160_0x0/
A0220090217000049237;AUCHAN BIO CREPE SUCRE X4 160G;Oui;;MEDIASTEP103285393;https://media.auchan.fr/MEDIASTEP103285393_0x0/
A0219981015000652469;BIO ANCHIN POTAGE POTIM 98;;;MEDIASTEP141150634;https://media.auchan.fr/MEDIASTEP141150634_0x0/
A0219961127000022826;BIO ANCHIN POTAGE TOMAT 98;;;MEDIASTEP141147735;https://media.auchan.fr/MEDIASTEP141147735_0x0/
A0219961127000022830;BIO ANCHIN POTAGE 5 LEG 98;;;MEDIASTEP141148483;https://media.auchan.fr/MEDIASTEP141148483_0x0/
P020000000003VF;AUCHAN BIOD TABOULE LEG 200G;Oui;;MEDIASTEP143947880;https://media.auchan.fr/MEDIASTEP143947880_0x0/
P020000000003VE;AUCHAN BIOD CAROTTE RAPEE 200G;Oui;;MEDIASTEP143947879;https://media.auchan.fr/MEDIASTEP143947879_0x0/
A0220150227000804725;BIO CEREAL GALET QUINO TOM200G;Oui;Oui;MEDIASTEP145194858;https://media.auchan.fr/MEDIASTEP145194858_0x0/
A0220130827000656081;BIO CEREAL GALET POL MEDI160G;Oui;Oui;MEDIASTEP140621669;https://media.auchan.fr/MEDIASTEP140621669_0x0/
A0220120813000032912;AUCHAN BIOD PATE A PIZZA 260G;Oui;;MEDIASTEP132166900;https://media.auchan.fr/MEDIASTEP132166900_0x0/
A0220120402000010153;BIO CEREAL FALAFELS EPIN 180G;Oui;;MEDIASTEP145193753;https://media.auchan.fr/MEDIASTEP145193753_0x0/
A0220111220000040373;BIO CEREAL GALET CHEV MIEL 200;Oui;Oui;MEDIASTEP135812920;https://media.auchan.fr/MEDIASTEP135812920_0x0/
A0220110408000047753;BIO JARDIN PIZZA 4 SAISONS;Oui;Oui;MEDIASTEP104548332;https://media.auchan.fr/MEDIASTEP104548332_0x0/
A0220110408000047710;BIO JARDIN PIZZA 3 FROMAGES;Oui;Oui;MEDIASTEP104548333;https://media.auchan.fr/MEDIASTEP104548333_0x0/
A0220110331000321227;BIO CEREAL GALET AVOIN SUCRE;Oui;Oui;MEDIASTEP92859665;https://media.auchan.fr/MEDIASTEP92859665_0x0/
A0220101126000042369;BIO ST JEAN SOUFFLE LEG 4X80G;;Oui;MEDIASTEP60112083;https://media.auchan.fr/MEDIASTEP60112083_0x0/
A0220090217000049758;AUCHAN BIOD QUENELLES X4 320G;Oui;;MEDIASTEP58270717;https://media.auchan.fr/MEDIASTEP58270717_0x0/
A0220090210000025528;AUCHAN BIOD PATE BRISEE 230G;Oui;;MEDIASTEP132166898;https://media.auchan.fr/MEDIASTEP132166898_0x0/
A0220090210000025216;AUCHAN BIOD PATE FEUILLET 230G;Oui;;MEDIASTEP132166899;https://media.auchan.fr/MEDIASTEP132166899_0x0/
A0220090210000025561;AUC BIOD RAVIOLI RIC EP250G;Oui;;MEDIASTEP133629954;https://media.auchan.fr/MEDIASTEP133629954_0x0/
A0220080829000039874;AUC BIOD RAVIOLI 3 FROM250G;Oui;;MEDIASTEP66806501;https://media.auchan.fr/MEDIASTEP66806501_0x0/
A0220080829000039895;AUCHAN BIOD TAGLIATELLES 250G;Oui;;MEDIASTEP58261483;https://media.auchan.fr/MEDIASTEP58261483_0x0/
A0220070206000012860;BIO CEREAL TOFOU NATURE 250G;Oui;;MEDIASTEP138892530;https://media.auchan.fr/MEDIASTEP138892530_0x0/
A0220070206000013647;BIO CEREAL GALET LEG EPAUT200G;Oui;Oui;MEDIASTEP115182481;https://media.auchan.fr/MEDIASTEP115182481_0x0/
A0220070206000013605;BIO CEREAL GALETTE COMTE 200G;Oui;Oui;MEDIASTEP145193486;https://media.auchan.fr/MEDIASTEP145193486_0x0/
A0220140205000658430;BIO CEREAL GALET BREBIS FIG180;Oui;Oui;MEDIASTEP58271691;https://media.auchan.fr/MEDIASTEP58271691_0x0/
A0220110120000240986;BIO CEREAL TOFU SOYEUX 400G;Oui;Oui;MEDIASTEP142953037;https://media.auchan.fr/MEDIASTEP142953037_0x0/
A0220081113000019922;BIO CEREAL GALET EPINARD 180G;Oui;Oui;MEDIASTEP135815019;https://media.auchan.fr/MEDIASTEP135815019_0x0/
A0220070206000013026;BIO CEREAL TOFOU HERBES 250G;Oui;;MEDIASTEP138892559;https://media.auchan.fr/MEDIASTEP138892559_0x0/
P020000000000YO;BIO ANCHIN POTAG P POIS 98.5CL;;Oui;MEDIASTEP141149259;https://media.auchan.fr/MEDIASTEP141149259_0x0/
P020000000004EY;BIO CEREAL CARRE INDIENNE 200G;;;MEDIASTEP145194982;https://media.auchan.fr/MEDIASTEP145194982_0x0/
