"<ID>";"ATPD_00101";"GTIN achat";"ATPDA_72101260";"ATPD_200133"
"AUCH_ACHA_106200224";"A0220180313000720206";"8000070016644";"";"Café soluble lyophilisé"
"AUCH_ACHA_106200435";"A0220180315000850179";"8711000399217";"";"Café moulu en dosettes souples"
"AUCH_ACHA_106201442";"A0220180329000522832";"7613036324953";"AB Agriculture biologique;Eurofeuille";"Café torréfié moulu biologique"
"AUCH_ACHA_106201830";"A0220180405000763226";"5055953902968";"";"Thé vert saveur framboise et fruit de la passion"
"AUCH_ACHA_106201853";"A0220180404000471052";"5055953902982";"";"Thé vert saveur pamplemousse, citron et citron vert"
"AUCH_ACHA_106202723";"A0220180418000681420";"3228470064743";"";"Café moulu en dosettes filtre"
"AUCH_ACHA_106202737";"A0220180418000479086";"3228470064774";"";"Café moulu en dosettes filtre"
"AUCH_ACHA_106202743";"A0220180418000157899";"3228470064804";"";"Café moulu en dosettes filtre"
"AUCH_ACHA_106204500";"A0220180515000474937";"3228470065214";"";"Café moulu en dosettes filtre"
"AUCH_ACHA_106205830";"A0220180607000485819";"8711200319015";"";"Préparation aromatisée pour infusion"
"AUCH_ACHA_106206378";"A0220180613000411298";"7617014184591";"";"Café Royal Espresso compatible Senseo®"
"AUCH_ACHA_106208250";"A0220180723000775270";"3398984215259";"Eurofeuille;AB Agriculture biologique;Point vert;Ecocert;Triman";"INFUSION VERVEINE MENTHE BIO PAGES"
"AUCH_ACHA_106208211";"A0220180720000467401";"3398984215754";"AB Agriculture biologique;Eurofeuille";"Infusion Bio Pagès Yuzu Mandarine 20 sachets"
"AUCH_ACHA_106208220";"A0220180723000618171";"3398984506128";"Eurofeuille;AB Agriculture biologique;Ecocert";"Infusion Après Repas (citron, menthe, mélisse) Pagès bio 20 sachets"
"AUCH_ACHA_106208221";"A0220180723000597637";"3398984505350";"Eurofeuille;AB Agriculture biologique;Point vert;Ecocert;Triman";"THE NOIR EARL GREY BIO PAGES 20 sachets"
"AUCH_ACHA_106210439";"A0220180827000743769";"8711000419694";"";"Café moulu en capsules"
"AUCH_ACHA_106212596";"A0220180920000072150";"3245678172841";"UTZ";"Dosettes souples de café décaféiné torréfié moulu conditionnées sous atmosphère protectrice"
"AUCH_ACHA_106212879";"A0220180927000606655";"3245678172117";"";"Auchan Café soluble classico 200g"
"AUCH_ACHA_106212884";"A0220180927000105659";"3245678172162";"";"Café soluble lyophilisé"
"AUCH_ACHA_106212885";"A0220180927000057668";"3245678172353";"";"Auchan Café soluble en stick X25-50g"
"AUCH_ACHA_106214031";"A0220181024000555961";"3245678168882";"Eurofeuille";"Auchan bio Café en grains 100% arabica 250G"
"AUCH_ACHA_106214068";"A0220181024000987263";"3245678169506";"Eurofeuille";"Auchan bio Café moulu du Mexique 250g"
"AUCH_ACHA_106214168";"A0220181029000625914";"3245678172926";"AB Agriculture biologique;UTZ;Eurofeuille;Triman";"Auchan bio Dosettes de café classico compatibles Senseo X18-125g"
"AUCH_ACHA_106217034";"A0220181212000740669";"8000070028609";"";"Giga Format x216 dosettes Corsé  Intensité 7"
"AUCH_ACHA_106217003";"A0220181212000085033";"3245678169186";"Eurofeuille";"Auchan bio Café moulu 100% arabica 250g"
"AUCH_ACHA_106217295";"A0220181219000619729";"5021991941436";"Eurofeuille";"Thé blanc framboise bio aromatisé"
"AUCH_ACHA_106217635";"A0220190109000666602";"3227540503847";"";"Capsules de café Torréfié"
"AUCH_ACHA_106218434";"A0220190125000142666";"3700110003720";"Eurofeuille;AB Agriculture biologique";"Café en grains pur arabica issu de l'agriculture biologique"
"AUCH_ACHA_106219129";"A0220190211000728066";"8711000426388";"";"Café moulu en capsules"
"AUCH_ACHA_106223435";"A0220190318000536530";"3245678152171";"";"Capsules de café torréfié moulu. Conditionné sous atmosphère protectrice."
"AUCH_ACHA_106224266";"A0220190329000404245";"3760160680845";"";"cafe moulu 250 gr blend 100% arabica torrefaction artisanale"
"AUCH_ACHA_106224305";"A0220190329000733274";"3760160680395";"";"CAFE MALABAR DES INDES 250 GRAMMES GRAIN TORREFACTION ARTISANALE 100% ARABICA"
"AUCH_ACHA_106231451";"A0220190514000476129";"7613036939980";"";"Café torréfié moulu"
"AUCH_ACHA_106232378";"A0220190521000405293";"3760037980047";"";"Pure Origine Ethiopie Moka Moulu Filtre "
"AUCH_ACHA_106232405";"A0220190521000070368";"3418500007134";"AB Agriculture biologique";"SUAVE BIO KILO GRAIN"
"AUCH_ACHA_106233182";"A0220190604000134517";"3418500001040";"";"italien grain 250g grain"
"AUCH_ACHA_106233177";"A0220190604000895460";"8717163801857";"";"Préparation aromatisée pour infusion."
"AUCH_ACHA_106233265";"A0220190605000531217";"8717163842942";"Eurofeuille;AB Agriculture biologique";"Thé noir aromatisé bergamote et agrumes en vrac bio"
"AUCH_ACHA_106233313";"A0220190605000672590";"7617014191742";"Eurofeuille;Fairtrade;Eurofeuille";"CAFE ROYAL NS Alu Lungo BIO x10 Capsules de café compatibles avec le système Nespresso®*"
"AUCH_ACHA_106233998";"A0220190626000530598";"5055953903033";"";"Plantes à infusions aromatisées"
"AUCH_ACHA_106234337";"A0220190628000473358";"8711000846896";"Eurofeuille";"Café moulu biologique"
"AUCH_ACHA_106237049";"P02000000000DLG";"3277090961055";"AB Agriculture biologique;Eurofeuille"
"AUCH_ACHA_106237222";"P02000000000DRG";"3324700005491";"";"Capsule Vénitien ras d'amhara"
"AUCH_ACHA_106238337";"P02000000000FF4";"5021991942150";"Eurofeuille;AB Agriculture biologique";"thé noir épices et pointe de rose"
"AUCH_ACHA_106238333";"P02000000000FF6";"5021991942143";"Eurofeuille;AB Agriculture biologique";"thé noir à la russe, bergamote & agrumes"
"AUCH_ACHA_106242531";"P02000000000INV";"7613037883121";"";"Café torréfié moulu"
"AUCH_ACHA_106242373";"P02000000000IGJ";"7613037962215";"";"Préparation alimentaire de café soluble, oligofructose, chicorée soluble avec du magnésium"
"AUCH_ACHA_106243806";"P02000000000KG8";"5055953903231";"";"Plantes à infusions aromatisées"
"AUCH_ACHA_106244402";"P02000000000LF9";"8711000468128";"";"Mélange de cacao instantané en dosettes filtre"
"AUCH_ACHA_106245638";"P02000000000MOJ";"7613036900072";"";"Préparation instantanée sucrée pour boisson goût café au lait"
"AUCH_ACHA_106245623";"P02000000000MP1";"8000070042889";"Eurofeuille";"Café moulu en boîte 100% arabica bio."
"AUCH_ACHA_106247314";"P02000000000OEM";"3245678075210";"";"Café torréfié moulu.  Conditionné sous vide"
"AUCH_ACHA_106251096";"P02000000000RCR";"8711327452176";"AB Agriculture biologique;Eurofeuille";"Thé"
"AUCH_ACHA_106251665";"P02000000000S00";"3376221121938";"Eurofeuille;AB Agriculture biologique";"Café en dosettes Souples compatibles Senseo Caraïbes bio Le Torref'Acteur"
"AUCH_ACHA_106251634";"P02000000000RZB";"3376221121891";"Eurofeuille;AB Agriculture biologique";"Café Moulu Pure Origine Honduras bio 225g Le Torref'Acteur"
"AUCH_ACHA_106254644";"P02000000000V1K";"3245678093764"
"AUCH_ACHA_106254360";"P02000000000UQV";"3422150002296";"Point vert";"Infusion Thym (30 sachets +3 offerts) 38g L2M 33 sachets infuseurs"
"AUCH_ACHA_106254588";"P02000000000UX7";"3245678093917"
"AUCH_ACHA_106254581";"P02000000000UX6";"3245678093900";"";"Capsules de café torréfié moulu saveur noisette. Intensité 7/12."
"AUCH_ACHA_106256366";"A0220030625000759175";"3228881011138";"";"Thé vert aromatisé menthe"
"AUCH_ACHA_106256374";"A0220030625000759172";"3228881011053";"";"Thé aromatisé pêche mangue"
"AUCH_ACHA_106261738";"A0220001212000682590";"3033710072927";"";"Café instantané"
"AUCH_ACHA_106263893";"A0219900101000063027";"3261342050406";"Saveurs en'Or";"CAFE MOULU"
"AUCH_ACHA_106263479";"A0219900101000087237";"3259234231002";"";"CAFE MOULU"
"AUCH_ACHA_106265449";"A0219990311000513290";"3254565132905";"";"Thé noir"
"AUCH_ACHA_106265645";"A0220000511000055017";"3564883000023";"";"Café aromatisé saveur noisette moulu"
"AUCH_ACHA_106976225";"P02000000000AJN";"5411651086711";"";"Café soluble dolce 100g"
"AUCH_ACHA_110265948";"P02000000000X4S";"7613039854327";"";"Lait entier en poudre avec café soluble et sucre"
"AUCH_ACHA_114676834";"P02000000000XK6";"3259234261009";"";"Café en dosettes"
"AUCH_ACHA_114685135";"P02000000000XKP";"3259234263003";"AB Agriculture biologique;Eurofeuille";"Café en dosettes"
"AUCH_ACHA_125977989";"P02000000000Z66";"3376221121877";"Eurofeuille;AB Agriculture biologique";"Café Moulu Pure Origine Papouasie bio 225g Le Torref'Acteur"
"AUCH_ACHA_125982885";"P02000000000Z6H";"3376221121952";"Eurofeuille;AB Agriculture biologique";"Café moulu en capsules Pure Origine Bolivie Le Torref'Acteur"
"AUCH_ACHA_125988037";"P02000000000Z6M";"3376221224738";"Eurofeuille;AB Agriculture biologique";"Café Moulu Pure Origine Nicaragua bio 225g Le Torref'Acteur"
"AUCH_ACHA_128276283";"P02000000000ZSZ";"7613287301291";"";"Starbucks by nespresso café capsules italian roast 10 capsules 56g"
"AUCH_ACHA_130720642";"A0220190403000615172";"7617014193432";"";"CAFE ROYAL NS Alu Lungo Forte x18 Capsules de café compatibles avec le système Nespresso®*"
"AUCH_ACHA_130721022";"A0220190522000082914";"7617014191520";"";"CAFE ROYAL NS Alu Petit Déjeuner x10 Capsules de café compatibles avec le système Nespresso®*"
"AUCH_ACHA_133286883";"P0200000000124N";"3456300013924";"AB Agriculture biologique;Ecocert";"PREPARATION POUR INFUSION BIOLOGIQUE"
"AUCH_ACHA_133287431";"P0200000000124U";"3456300013993";"AB Agriculture biologique;Ecocert;Eurofeuille";"PRÉPARATION POUR INFUSION BIOLOGIQUE"
"AUCH_ACHA_133287430";"P0200000000124X";"3456300013955";"AB Agriculture biologique;Ecocert";"PREPARATION AROMATISEE POUR INFUSION BIOLOGIQUE"
"AUCH_ACHA_133287434";"P0200000000124Y";"3456300013986";"AB Agriculture biologique;Ecocert";"PREPARATION POUR INFUSION BIOLOGIQUE"
"AUCH_ACHA_136235583";"P020000000014I3";"7630477879835";"";"10 capsules de café torréfié et moulu pour système Nespresso"
"AUCH_ACHA_138406963";"P020000000015V1";"8711000476024";"";"Café moulu en dosettes filtre"
"AUCH_ACHA_140500750";"P02000000001710";"3245677720685"
"AUCH_ACHA_106159164";"A0220130123000402334";"7613034060679";"";"Préparation pour moelleux au chocolat"
"AUCH_ACHA_106159191";"A0220130123000319427";"7613034060709";"";"Préparation pour fondant au chocolat"
"AUCH_ACHA_106246765";"P02000000000O09";"3027030015344";"";"Préparation pour gâteau Moelleux au bon goût Citron"
"AUCH_ACHA_106246783";"P02000000000O0Q";"3027030015160";"";"Préparation pour gâteau Moelleux Nature"
"AUCH_ACHA_106253338";"P02000000000TXC";"3027030016396";"";"Ferments lactiques pour préparation de yaourts."
"AUCH_ACHA_109331491";"P02000000000WZ8";"3027030018581";"";"Préparation pour Glace à la Vanille et feuilletage Chocolat"
"AUCH_ACHA_131858973";"P020000000011DH";"3027030018642";"";"Ferments lactiques pour préparation de yaourts."
"AUCH_ACHA_104420960";"A0220190313000768996";"3021690029123";"";"ZAPETTI RAV BOLO RICHE BF 800G"
"AUCH_ACHA_104533440";"A0220050915000059131";"3478820600651";"AB Agriculture biologique;Eurofeuille";"Spécialité céréalière à base de blé dur et quinoa aromatisée au persil et à l'ail bio"
"AUCH_ACHA_104534996";"P02000000000UGJ";"8711327468917";"";"Soupe avec morceaux de volaille aromatisée."
"AUCH_ACHA_104811336";"P02000000000TUI";"3036811368111";"";"Soupe de légumes (55%)"
"AUCH_ACHA_104969822";"P02000000000HVQ";"3770010879121";"";"POT’ JE VLEESCH sans os Verrine 450G"
"AUCH_ACHA_105991095";"A0220060629000675812";"3038356803584";"";"Purée de pommes de terre accompagnée de viande de bœuf cuisinée, aromatisée."
"AUCH_ACHA_106136270";"A0220040322000364461";"3038353920109";"";"Garniture reine 1/2 - 400g"
"AUCH_ACHA_106136499";"A0220040723000762621";"3036810070176";"";"Soupe Instantanée"
"AUCH_ACHA_106138234";"A0220050721000568155";"3038352910200";"Viande de Bœuf Français";"Cannelloni 4/4 - 800G"
"AUCH_ACHA_106138580";"A0220060201000535820";"3596710482245";"";"Paella à la volaille traitée en salaison aux moules du Pacifique et au chorizo"
"AUCH_ACHA_106138581";"A0220060201000955460";"3596710294558";"";"Plat à  base de pommes de terre, carottes, oignons et de viande bovine traitée en salaison et précuite."
"AUCH_ACHA_106139518";"A0220060619000672274";"3478820031486";"AB Agriculture biologique;Eurofeuille;Ecocert";"Pâtes farcies cuisinées à la sauce tomate bio"
"AUCH_ACHA_106140108";"A0220061115000336609";"3175681028098";"Eurofeuille;AB Agriculture biologique";"Spécialité végétale à base de blé, issue de l'agriculture biologique."
"AUCH_ACHA_106141300";"A0220070601000466015";"0000000466015";"AB Agriculture biologique"
"AUCH_ACHA_106143308";"A0220080619000459265";"3036811357764";"";"Velouté de Légumes ( 47% ) au Potiron"
"AUCH_ACHA_106144799";"A0220090319000486230";"3175681061460";"Eurofeuille;AB Agriculture biologique";"Cappelletti à la sauce tomate farcis au tofu, issus de l'agriculture biologique"
"AUCH_ACHA_106145302";"A0220090423000434297";"3036812050442";"";"Soupe Instantanée"
"AUCH_ACHA_106150239";"A0220110126000413295";"3596710357260";"";"Plat à base de viande de poulet traitée en salaison et précuite, de sauce curry et de riz basmati précuit"
"AUCH_ACHA_106150247";"A0220110126000519730";"3596710357291";"";"Plat à base de viande de poulet préparée en salaison et précuite, d’une sauce à base de crème et de riz cuisiné."
"AUCH_ACHA_106151952";"A0220110516000313591";"3760020508883";"AB Agriculture biologique;Eurofeuille;Ecocert";"Lentilles cuisinées aux légumes et épaule de porc bio"
"AUCH_ACHA_106157067";"A0220120719000766896";"3036811362317";"";"Soupe de légumes (39%) au potiron et au fromage Kiri®"
"AUCH_ACHA_106157099";"A0220120725000482581";"3272931003574";"";"GARBURE DU PAYS au canard en confit - Pot marmite 1,550 kg"
"AUCH_ACHA_106161666";"A0220131002000443568";"3274930000165";"Eurofeuille;AB Agriculture biologique;Point vert";"Velouté de potiron, courge Butternut et légumes, issu de l’agriculture Biologique, potage prêt à consommer."
"AUCH_ACHA_106161460";"A0220130820000200378";"3022820007578";"Le porc français";"C Christ Cassoulet pur porc 44,6cl"
"AUCH_ACHA_106161646";"A0220130927000427195";"3576620006106";"Eurofeuille";"Pâté de campagne Bio"
"AUCH_ACHA_106161641";"A0220130927000427202";"3576620006007";"Eurofeuille";"Pâté de foie pur porc Bio"
"AUCH_ACHA_106165822";"A0220140711000900113";"3175681152137";"Eurofeuille;AB Agriculture biologique";"Quinoa, issu de l'agriculture biologique"
"AUCH_ACHA_106169185";"A0220141231000181606";"7613035128880";"";"Purée de pomme de terre en flocons à la crème et noix de muscade, aromatisée"
"AUCH_ACHA_106169250";"A0220150108000536535";"3021690025019";"";"Hachis parmentier au poulet et carottes fondantes"
"AUCH_ACHA_106170751";"A0220150318000758270";"7613035149779";"";"Purée de pomme de terre en flocons"
"AUCH_ACHA_106173013";"A0220150701000401719";"3175681170872";"Eurofeuille;AB Agriculture biologique";"Légumes, lentilles, riz et soja, issus de l'agriculture biologique"
"AUCH_ACHA_106173079";"A0220150715000369550";"3036812050527";"";"Soupe Instantanée"
"AUCH_ACHA_106173569";"A0220150807000416530";"3596710429479";"";"Ravioli au boeuf"
"AUCH_ACHA_106179424";"A0220160331000519759";"3036811365585";"";"Soupe de Légumes (76%)"
"AUCH_ACHA_106180757";"A0220160530000413390";"8710908961298";"";"Soupe - Huile d'olive vierge extra : 1%."
"AUCH_ACHA_106180785";"A0220160530000985775";"8710908960864";"";"Soupe."
"AUCH_ACHA_106183746";"A0220161004000233612";"8714100680520";"";"Plat déshydraté - Pâtes accompagnées d’une sauce carbonara."
"AUCH_ACHA_106186766";"A0220170217000869891";"3175681211018";"Eurofeuille;AB Agriculture biologique";"Riz cuisiné, issu de l'agriculture biologique"
"AUCH_ACHA_106188061";"A0220170315000502871";"3188720601008";"AB Agriculture biologique;Eurofeuille";"Hachis Parmentier Pur Boeuf BIO AB La Cuisine d'Océane"
"AUCH_ACHA_106196099";"A0220171113000400751";"3175681225091";"AB Agriculture biologique;Eurofeuille";"Spécialité végétarienne à base de blé, issue de l'agriculture biologique"
"AUCH_ACHA_106196101";"A0220171113000674170";"3175681216303";"Eurofeuille;AB Agriculture biologique";"Spécialité à base de céréales et de fromage, issue de l'agriculture biologique"
"AUCH_ACHA_106196133";"A0220171113000664853";"3175681225084";"Eurofeuille;AB Agriculture biologique";"Spécialité végétale à base de blé, issue de l'agriculture biologique"
"AUCH_ACHA_106196137";"A0220171113000491062";"3175681216273";"Eurofeuille;AB Agriculture biologique";"Spécialité à base de blé et de fromage, issue de l'agriculture biologique"
"AUCH_ACHA_106201068";"A0220180326000594277";"3274935302011";"AB Agriculture biologique;Eurofeuille;Point vert";"Soupe de concombre, au jus de citron, à l’huile d’olive vierge extrait 1% et à la menthe, issu de l’agriculture biologique"
"AUCH_ACHA_106205609";"A0220180604000411449";"3036811367404";"Eurofeuille";"Soupe bio mouliné de légumes verts"
"AUCH_ACHA_106207072";"A0220180625000162859";"3036812100604";"";"Soupe instantanée aux 10 légumes"
"AUCH_ACHA_106209807";"A0220180823000232778";"3274930000394";"AB Agriculture biologique";"Mouliné de légumes, issu de l’agriculture biologique, potage prêt à consommer."
"AUCH_ACHA_106209821";"A0220180823000993401";"3274930001100";"AB Agriculture biologique;Eurofeuille";"Mouliné de légumes, issu de l’agriculture biologique, potage prêt à consommer."
"AUCH_ACHA_106213275";"A0220181003000156221";"3175681242524";"Eurofeuille;AB Agriculture biologique";"Spécialité végétale à base de soja et de céréales, issue de l'agriculture biologique"
"AUCH_ACHA_106215793";"A0220181123000456940";"3375644008109";"";"PORC POMMES DE TERRE PARISIENNES ET SAUCE AU VIN BLANC DES CORBIERES 400G"
"AUCH_ACHA_106215779";"A0220181123000217041";"3375640013008";"";"PETIT SALE ET SAUCISSES DE TOULOUSE AUX LENTILLES 420G"
"AUCH_ACHA_106218322";"A0220190125000676214";"3700749303307";"Eurofeuille;AB Agriculture biologique";"Soupe courgette tomate basilic biologique"
"AUCH_ACHA_106223284";"A0220190313000473144";"3021690029116";"";"Ravioli supérieur au bœuf et sauce tomate au bœuf avec arômes naturels"
"AUCH_ACHA_106225727";"A0220190410000411109";"3229820798028";"Eurofeuille;AB Agriculture biologique";"Préparation à base de sésame à poêler"
"AUCH_ACHA_106226501";"A0220190417000729704";"3261053400514";"";"PAELLA ROYALE  Volaille, moules et chorizo"
"AUCH_ACHA_106226499";"A0220190417000489203";"3261053410544";"";"COUSCOUS ROYAL POULET ET BŒUF"
"AUCH_ACHA_106230242";"A0220190509000432105";"3770002946633";"Vegan;Marquage métrologique;Point vert";"Quinoa express complet med (250g)"
"AUCH_ACHA_106235510";"P02000000000BSH";"3175681248540";"Eurofeuille;AB Agriculture biologique";"Quinoa royal haricots rouges, tomates séchées, piment d'Espelette, issu de l'agriculture biologique"
"AUCH_ACHA_106235530";"P02000000000BEO";"3700630101272";"";"Daube à la Provençale Bocal 1kg Le Parfait"
"AUCH_ACHA_106236329";"P02000000000D0H";"3256477081142";"";"langue de boeuf sauce piquante cuisinée au sel de Guérande"
"AUCH_ACHA_106237324";"P02000000000E6Q";"3303700001443";"";"CHOUX FARCIS /2 "
"AUCH_ACHA_106237493";"P02000000000EGO";"3379670015742";"";"SACHET Lentilles et riz Basmati 250G"
"AUCH_ACHA_106238376";"P02000000000FGU";"3596710464982";"Eurofeuille";"Velouté aux courgettes et au basilic, biologique."
"AUCH_ACHA_106238331";"P02000000000FG0";"3229820798929";"Eurofeuille";"Biscuits apéritifs à base de pois chiches et curry biologiques"
"AUCH_ACHA_106239027";"P02000000000GAX";"3760241200696";"";"Velouté de carotte au gingembre et au curry"
"AUCH_ACHA_106239038";"P02000000000GBK";"3760241200672";"";"Velouté de légumes verts 48 cl"
"AUCH_ACHA_106239277";"P02000000000GEW";"3585260308006";"";"Carbonnades Flamandes à la bière 3 Monts"
"AUCH_ACHA_106245702";"P02000000000MV8";"3261055950505";"";"Tajine de légumes cuisinés (48%), accompagné de boulgour et de viande de poulet."
"AUCH_ACHA_106251389";"P02000000000RS7";"3274930001568";"AB Agriculture biologique;Eurofeuille";"Velouté de courge butternut, potimarron et légumes, issu de l’Agriculture Biologique."
"AUCH_ACHA_106251969";"P02000000000SDT";"8710522680612";"Eurofeuille;EUROPEAN_VEGETARIAN_UNION;AB Agriculture biologique";"Soupe."
"AUCH_ACHA_106251768";"P02000000000S7U";"3375640001159";"";"CASSOULET AU CONFIT D'OIE BOITE 840G"
"AUCH_ACHA_106253409";"P02000000000U1X";"3036812100710";"";"Soupe Instantanée"
"AUCH_ACHA_106261828";"A0220030403000601336";"3259011799893";"Eurofeuille;AB Agriculture biologique";"Spécialité végétarienne à base de blé, de sarrasin et de fromage, issue de l'agriculture biologique"
"AUCH_ACHA_106265798";"A0220020507000526279";"3563800002249";"";"Blanquette de veau"
"AUCH_ACHA_106266789";"A0219900101000067630";"5411896111117";"";"Carbonnades flamandes 400g"
"AUCH_ACHA_106266946";"A0219900305000065842";"3254560023352";"";"Petit salé aux lentilles "
"AUCH_ACHA_106266761";"A0219921125000062774";"3254560037533";"";"Paella volaille fruits de mer"
"AUCH_ACHA_106266983";"A0219900305000065823";"3254560023345";"";"Petit salé aux lentilles "
"AUCH_ACHA_106269662";"A0219900316000068773";"3254560023406";"";"Gratin Dauphinois"
"AUCH_ACHA_106271616";"A0219900101000064170";"3049580557013";"";"Gratin dauphinois à la crème fraîche et à l'emmental"
"AUCH_ACHA_106272196";"A0220000125000762416";"3011360006301";"";"Soupe déshydratée."
"AUCH_ACHA_138494481";"P020000000015QI";"3372467076384"
"AUCH_ACHA_141830495";"P020000000005HL";"3292070008759";"AB Agriculture biologique";"Blinis issus de l'agriculture biologique"
"AUCH_ACHA_141831181";"P020000000009BA";"3292070009404";"";"BLINIS"
"AUCH_ACHA_141832681";"A0220130802000655705";"3292070101344";"";"BLINIS"
"AUCH_ACHA_141833387";"A0220110706000029797";"3292070005185";"";"BLINIS"
"AUCH_ACHA_147437460";"P020000000018G4";"8720182108937";"EUROPEAN_VEGETARIAN_UNION";"Soupe."
"AUCH_ACHA_160349682";"A0220140519000442928";"3596710378913";"Eurofeuille";"Raviolis au boeuf biologique. "
"AUCH_ACHA_104426693";"A0220150409000914242";"3041091001603";"";"Plat à base de légumes et de poisson adapté à bébé"
"AUCH_ACHA_104426663";"A0220140219000871969";"3041090846359";"";"Plat à base de légumes et de poisson adapté à bébé"
"AUCH_ACHA_104426973";"P02000000000MGD";"7613039333365";"";"Céréale infantile pour nourrissons et enfants en bas âge"
"AUCH_ACHA_104534957";"A0220090730000404112";"3041090013829";"";"Céréales lactées pour bébés"
"AUCH_ACHA_104534959";"A0220060328000054743";"3041090000089";"";"Céréales lactées pour bébés"
"AUCH_ACHA_104759993";"A0220190111000313783";"3760269310759";"AB Agriculture biologique;Eurofeuille";"Spécialité végétale brassée pour bébé à base d'avoine."
"AUCH_ACHA_104759641";"A0220131206000440070";"3770002327210";"Eurofeuille;AB Agriculture biologique";"Purée de fruit pour bébé."
"AUCH_ACHA_104775461";"A0220131206000502413";"3770002327258";"Eurofeuille;AB Agriculture biologique;Point vert";"Aliment pour bébé"
"AUCH_ACHA_104775711";"A0220170331000548522";"3041091222022";"";"Dessert lacté à la banane, aromatisé, adapté à bébé"
"AUCH_ACHA_104775802";"A0220181017000607681";"3041091400260";"";"Purée de fruits adaptée à bébé."
"AUCH_ACHA_104775355";"A0220071219000215679";"7613031478170";"";"Purée de légumes adaptée à bébé"
"AUCH_ACHA_104775678";"A0220170110000719638";"7613035856615";"";"Aliment pour bébés. Purée de pommes de terre viande de bœuf"
"AUCH_ACHA_104775689";"A0220170116000539913";"7613035848085";"";"Aliment pour bébés. Légumes, pâtes et viande de bœuf"
"AUCH_ACHA_104775710";"A0220170331000525751";"3041091222015";"";"Dessert lacté à la fraise, aromatisé, adapté à bébé"
"AUCH_ACHA_104775797";"A0220181026000443778";"3041091400246";"";"Purée de fruits adaptée à bébé."
"AUCH_ACHA_107475324";"A0220050428000642954";"5410001023666";"";"Céréale infantile pour nourrissons et enfants en bas âge saveur biscuit"
"AUCH_ACHA_107475401";"A0220071219000317852";"7613031478200";"";"Purée de légumes adaptée à bébé"
"AUCH_ACHA_107475402";"A0220080207000528253";"7613031518227";"";"Aliment pour bébés. Dessert lacté à la pomme avec arôme naturel"
"AUCH_ACHA_107475428";"A0220100716000462541";"7613032397937";"";"Aliment pour bébés. Dessert lacté saveur vanille"
"AUCH_ACHA_107475422";"A0220090617000726733";"7613032372583";"";"Aliment pour bébés. Dessert lacté aux fruits avec arôme naturel"
"AUCH_ACHA_107475612";"A0220140225000858505";"7613034100023";"";"Purée de légumes et de poisson adaptée à bébé"
"AUCH_ACHA_107475682";"A0220160125000108968";"7613035447004";"";"Purée de légumes et de viande adaptée à bébé"
"AUCH_ACHA_107475729";"A0220170116000449594";"7613035832503";"";"Purée de légumes adaptée à bébé"
"AUCH_ACHA_107475619";"A0220140603000412310";"7613034822895";"";"Biscuit pour bébés"
"AUCH_ACHA_107475635";"A0220140123000776948";"7613034581051"
"AUCH_ACHA_107475901";"P02000000000MG0";"7613038150741";"";"Aliment pour bébés - Dessert lacté"
"AUCH_ACHA_107475532";"A0220120718000452363";"7613033199301";"";"Aliment pour bébés. Dessert lacté"
"AUCH_ACHA_107485773";"P02000000000MG9";"7613037080520";"AB Agriculture biologique;Eurofeuille";"Céréales biologiques adaptées à bébé"
"AUCH_ACHA_107485787";"P02000000000RM9";"7613287053572";"AB Agriculture biologique;Eurofeuille";"Dessert lacté biologique aux fruits pour bébés"
"AUCH_ACHA_107485733";"A0220181226000149225";"7613036760812";"AB Agriculture biologique;Eurofeuille";"Boisson pour bébés à base de purée de fruits bio"
"AUCH_ACHA_108814147";"P02000000000D2L";"3041091424136";"AB Agriculture biologique;Eurofeuille";"Purée de fruits adaptée à bébé."
"AUCH_ACHA_108814945";"P02000000000ELM";"3041091440389";"AB Agriculture biologique";"Sauce de légumes adaptée à bébé"
"AUCH_ACHA_108815036";"P02000000000EO0";"3041091440587";"AB Agriculture biologique";"Pâtes adaptées à bébé"
"AUCH_ACHA_108815016";"P02000000000ENF";"3041091441010";"AB Agriculture biologique;Eurofeuille";"Purée adaptée à bébé."
"AUCH_ACHA_108817300";"P02000000000H09";"3596710475001";"Eurofeuille;AB Agriculture biologique";"Aliment pour bébé - dès 6 mois - Purée à base de carotte, riz, courge butternut et dinde bio Fabrication et distribution certifiées par Ecocert FR-BIO-01"
"AUCH_ACHA_108817303";"P02000000000H0N";"3596710476916";"Eurofeuille";"Aliment pour bébé - dès 12 mois - Purée à base de carotte, purée de tomate, courgette, pâtes et lait bio Fabrication et distribution certifiées par Ecocert FR-BIO-01"
"AUCH_ACHA_108817308";"P02000000000H0E";"3596710475032";"Eurofeuille;AB Agriculture biologique";"Aliment pour bébé - dès 6 mois - Purée à base de petits pois, maïs et riz bio Fabrication et distribution certifiées par Ecocert FR-BIO-01"
"AUCH_ACHA_108820551";"P02000000000KD3";"3760269311411";"Eurofeuille;AB Agriculture biologique;Point vert";"Aliment pour bébé"
"AUCH_ACHA_108820495";"P02000000000KD5";"3041091581549";"";"Purée de fruits adaptée à bébé."
"AUCH_ACHA_108822951";"P02000000000N6F";"3041091551207";"AB Agriculture biologique";"Plat à base de légumes adapté à bébé"
"AUCH_ACHA_108823017";"P02000000000N9H";"3041091578013";"AB Agriculture biologique";"Plat à base de légumes adapté à bébé"
