"<ID>";"ATPD_00101";"GTIN achat";"ATPDA_72101260";"ATPD_200133"
"AUCH_ACHA_106655167";"P020000000007G8";"3523230046749";"";"Yaourt biologique au lait entier, sucré, à l'abricot et à la pêche et aromatisé"
"AUCH_ACHA_106655176";"P020000000007H3";"3596710465385";"Eurofeuille";"lait demi-écrémé stérilisé UHT biologique"
"AUCH_ACHA_106656163";"P0200000000080M";"3596710469253";"";"lait demi-écrémé stérilisé UHT"
"AUCH_ACHA_106655190";"P020000000007H2";"3596710465378";"Eurofeuille";"lait demi-écrémé issu de l'agriculture biologique - stérilisé UHT  *conformément au mode de production biologique"
"AUCH_ACHA_106655878";"P020000000007WE";"3608580942764";"V-Label végan";"Mousse au lait de coco et au chocolat"
"AUCH_ACHA_106655870";"P020000000007WP";"3608580934783";"";"Dessert pâtissier."
"AUCH_ACHA_106656845";"P020000000008MP";"3596710461387";"";"Spécialité laitière nature"
"AUCH_ACHA_106657180";"P020000000008RC";"3329770063457";"";"Yaourt sucré, aux fruits, aromatisé"
"AUCH_ACHA_106657148";"P020000000008RS";"3329770063341";"";"Yaourt à boire sucré aromatisé "
"AUCH_ACHA_106657169";"P020000000008RF";"3329770063426";"";"Yaourt sucré, aux fruits aromatisé"
"AUCH_ACHA_106657240";"P020000000008S0";"3329770063136";"";"Dessert lacté au chocolat"
"AUCH_ACHA_106657241";"P020000000008RZ";"3329770063228";"";"Yaourt à boire sucré aromatisé "
"AUCH_ACHA_106657506";"P0200000000091B";"3329770063563";"";"Yaourt 0% mat.gr., aux fruits, aromatisé, avec édulcorants"
"AUCH_ACHA_106657837";"P0200000000094K";"3760266120030";"Agence Bio;AB Agriculture biologique;Eurofeuille";"Spécialité végétale fermentée au lait de coco"
"AUCH_ACHA_106657951";"P02000000000969";"3608580966685";"";"Purée de pommes et jus concentré d'acérola sans sucres ajoutés. Purée de pommes et de poires Williams et jus concentré d'acérola sans sucres ajoutés."
"AUCH_ACHA_106658223";"P020000000009D3";"3760266120054";"Eurofeuille";"Spécialité végétale au lait de coco et cacao"
"AUCH_ACHA_106658054";"P0200000000097T";"3596710474172";"";"Purée de pomme banane vanille sans sucres ajoutés "
"AUCH_ACHA_106658074";"P0200000000098V";"3023290030547";"";"Spécialité laitière sucré à la framboise."
"AUCH_ACHA_106658086";"P02000000000994";"3155250369944";"";"Crème légère semi-épaisse stérilisée à 15% MG"
"AUCH_ACHA_106658227";"P020000000009CV";"3760266120245";"Eurofeuille";"SPECIALITE VEGETALE FERMENTEE BIO AU LAIT DE COCO, VANILLE "
"AUCH_ACHA_106658665";"P020000000009IP";"3329770062764";"";"Crème légère fluide à 15% de matières grasses  "
"AUCH_ACHA_106658796";"P0200000000098Q";"3023290028988";"";"Yaourt brassé sucré sur lit de framboises, aromatisé framboise"
"AUCH_ACHA_106659760";"P02000000000ABP";"3661344472266";"Ecocert;AB Agriculture biologique";"Yaourt bio brassé, sucré, aux figues et au miel"
"AUCH_ACHA_106659872";"P02000000000AF4";"3329770063839";"";"Yaourt sucré aux fruits aromatisé"
"AUCH_ACHA_106659883";"P02000000000AF6";"3329770063792";"";"Yaourt sucré aux fruits, aromatisé"
"AUCH_ACHA_106659892";"P02000000000AFE";"3329770063921";"";"Yaourt 0% mat.gr., aux fruits, aromatisé, avec édulcorants"
"AUCH_ACHA_106659943";"P02000000000AIU";"3596710471362";"Eurofeuille";"Yaourts sucrés, aromatisés issus de l'agriculture biologique, source de calcium"
"AUCH_ACHA_106660362";"P02000000000AU6";"3596710472970";"";"Yaourt brassé sucré à la vanille"
"AUCH_ACHA_106660935";"P02000000000BSX";"3597240060422";"";"Fromage blanc 40%MG"
"AUCH_ACHA_106661125";"P02000000000C0I";"5412971016600";"Eurofeuille;Eco Label";"PUR NATUR YAOURT FRUITS DE FORET 150G"
"AUCH_ACHA_106660900";"P02000000000BPF";"3661344345799";"Ecocert;AB Agriculture biologique;Eurofeuille";"Yaourt bio à boire, sucré, à la vanille"
"AUCH_ACHA_106663831";"P02000000000DTL";"3023290036655";"";"Semoule au lait à l'arôme naturel de vanille"
"AUCH_ACHA_106663734";"P02000000000DJ5";"3451790013737";"AB Agriculture biologique;Eurofeuille";"CRÈME ENTIÈRE ÉPAISSE BIOLOGIQUE 30% M.G."
"AUCH_ACHA_106663805";"P02000000000DTI";"3023290036686";"";"Riz au lait à l'arôme naturel de vanille"
"AUCH_ACHA_106665226";"P02000000000GJ0";"3426327634457";"";"Yaourt Fruits Rouges"
"AUCH_ACHA_106663834";"P02000000000DTS";"3023290035627";"";"Dessert lacté aux oeufs frais et au café/Dessert lacté aux oeufs frais et au café, cuit au four."
"AUCH_ACHA_106665139";"P02000000000G03";"3329770063617";"";"Yaourt sucré, aux fruits aromatisé"
"AUCH_ACHA_106665762";"P02000000000IFI";"9120025834723";"";"Génoise au cacao noir surmontée d’une crème au lait (40.8%) et enrobée d’un glaçage cacao croustillant aux éclats de biscuit. "
"AUCH_ACHA_106665814";"P02000000000IL7";"3596710480593";"";"Yaourt brassé sucré au lait entier sur lit de préparation aux myrtilles, aromatisé Yaourt brassé sucré au lait entier sur lit de préparation aux fraises, aromatisé"
"AUCH_ACHA_106667462";"P02000000000NUW";"3596710483969";"Eurofeuille";"Crème entière liquide à 30% de matière grasse, issue de l'agriculture biologique, stérilisée UHT"
"AUCH_ACHA_106667523";"P02000000000NV2";"3596710484065";"";"crème légère liquide à 15 % de matière grasse, stérilisée UHT"
"AUCH_ACHA_106667586";"P02000000000OQR";"3428271200047";"";"Boisson lactée aromatisée à l'arôme naturel de fraise, sucrée, enrichie en vitamine D, stérilisée UHT."
"AUCH_ACHA_106668194";"P02000000000Q5Z";"3387270621706";"Point vert";"Fromage blanc au lait de montagne 7.8% de matière grasse"
"AUCH_ACHA_106668803";"P02000000000STT";"3329770071483";"";"Yaourt sucré sur lit au caramel au beurre salé, aromatisé  "
"AUCH_ACHA_106668821";"P02000000000SRK";"3329770075405";"";"Yaourt à boire sucré aromatisé  "
"AUCH_ACHA_106669398";"P02000000000UJA";"3323290001906";"";"FROMAGEE 7% 2 KG"
"AUCH_ACHA_106669402";"P02000000000UGX";"3597240002972";"";"Lait 1L demi écrémé uht brique "
"AUCH_ACHA_106668782";"P02000000000SPT";"3329770074736";"";"Yaourt sucré, aux fruits et Curcuma"
"AUCH_ACHA_106668790";"P02000000000SNK";"3770000451795";"AB Agriculture biologique;Eurofeuille";"Crème dessert Bio Chocolat de St Domingue"
"AUCH_ACHA_106668870";"P02000000000TJH";"3420629109255";"";"Fromage Blanc Ail et Fines Herbes 500 g"
"AUCH_ACHA_106669705";"P02000000000UT1";"3760207000186";"";"Yaourt brassé Myrtille "
"AUCH_ACHA_106669869";"P02000000000UXR";"3023290050408";"";"Dessert lacté au café, aromatisé café et dessert lacté au chocolat"
"AUCH_ACHA_106669989";"P02000000000VS2";"3608580046745";"V-Label végan";"Dessert au lait d'amande et au chocolat"
"AUCH_ACHA_106669932";"P02000000000V3I";"3329770076259";"";"Recette au yaourt nature, sur lit à la mangue, aromatisée"
"AUCH_ACHA_106683351";"A0220160311000029019";"3596710430772";"Eurofeuille";"Dessert lacté aux œufs frais, à la crème et au chocolat issu de l'agriculture biologique"
"AUCH_ACHA_106683368";"A0220160311000028970";"3596710430871";"";"Dessert au soja, au caramel, aromatisé"
"AUCH_ACHA_106683363";"A0220160311000028993";"3596710430888";"";"Dessert au soja, au chocolat saveur noisette"
"AUCH_ACHA_106683518";"A0220160223000025956";"3023290233702";"";"Dessert lacté aux oeufs frais (90%) sur lit de caramel (10%)"
"AUCH_ACHA_106684885";"A0220151015000865673";"3608580784517";"";"Dessert de pommes."
"AUCH_ACHA_106684898";"A0220151014000865388";"3760122960558";"";"Yaourt à boire sucré, à la framboise"
"AUCH_ACHA_106685073";"A0220150915000864057";"3456774781619";"";"Dessert lacté au chocolat et à la menthe"
"AUCH_ACHA_106685076";"A0220150915000864055";"3456774781602";"";"Dessert lacté au chocolat"
"AUCH_ACHA_106685094";"A0220150916000864067";"3608580781882";"";"Yaourt brassé sucré à la confiture de fraises allégée en sucres."
"AUCH_ACHA_106685488";"A0220150730000862024";"3608580782179";"Forest Stewardship Council Mix;Triman";"Spécialité de pommes sans sucres ajoutés."
"AUCH_ACHA_106684816";"A0220151023000010145";"3023290170403";"";"Riz au lait"
"AUCH_ACHA_106686914";"A0220150421000807148";"5411188115472";"Végétarien";"Boisson au soja avec calcium et vitamines ajoutés"
"AUCH_ACHA_106687143";"A0220150324000805995";"3596710418824";"Eurofeuille";"Yaourt brassé sucré à la vanille issu de l'agriculture biologique"
"AUCH_ACHA_106688118";"A0220141231000802303";"3596710414765";"";"Yaourt brassé nature"
"AUCH_ACHA_106688533";"A0220141202000801244";"3479574112612";"";"Riz au lait à la vanille"
"AUCH_ACHA_106688538";"A0220141126000800974";"3596710418473";"";"Yaourt nature"
"AUCH_ACHA_106688950";"A0220140923000798893";"3023290112243";"";"Dessert lacté aux oeufs frais et au chocolat/Dessert lacté aux oeufs frais et au chocolat, cuit au four"
"AUCH_ACHA_106689707";"A0220140729000796717";"3596710402441";"";"spécialité de Pomme, Abricot sans sucres ajoutés*,aromatisée *contient des sucres naturellement présents."
"AUCH_ACHA_106689667";"A0220140731000796799";"3608580765684";"";"MOUSSE AU CHOCOLAT AU LAIT"
"AUCH_ACHA_106689796";"A0220140626000794824";"3596710402380";"";"Fromage frais au lait écrémé pasteurisé, 0% de matière grasse dans le produit fini Contient plus de 85% d'humidité - Source de calcium"
"AUCH_ACHA_106690458";"A0220140415000790886";"3273220504055";"AB Agriculture biologique";"Fromage blanc biologique à 3,6% de matière grasse"
"AUCH_ACHA_106690550";"A0220140404000790371";"3273220540213";"AB Agriculture biologique";"Yaourt biologique au lait de brebis myrtille"
"AUCH_ACHA_106691695";"A0220131127000039517";"3596710388714";"";"crème liquide à 30% de matière grasse,  stérilisée UHT"
"AUCH_ACHA_106691907";"A0220131022000021563";"3700819800026";"Point vert;Triman;Lait collecté et conditionné en France";"Pack 6x1L lait 1/2 écrémé FaireFrance UHT Brique"
"AUCH_ACHA_106691782";"A0220131106000032886";"3596710388691";"";"crème entière, sucrée, à l'arôme naturel de vanille, stérilisée UHT, sous pression."
"AUCH_ACHA_106691988";"A0220130916000657132";"3523230028080";"";"Fromage blanc nature au lait entier de chèvre"
"AUCH_ACHA_106692029";"A0220130904000656464";"3184670006337";"";"2 Desserts"
"AUCH_ACHA_106692030";"A0220130906000656560";"3596710382620";"";"crème légère fluide à 15 % de matière grasse, stérilisée UHT"
"AUCH_ACHA_106692470";"A0220130701000653542";"3596710388738";"";"Boisson lactée saveur fraise, source de calcium et de vitamine D, stérilisée UHT. "
"AUCH_ACHA_106693685";"A0220130329000643927";"3661344795372";"Ecocert;AB Agriculture biologique";"Flan à la vanille nappé de caramel"
"AUCH_ACHA_106693760";"A0220130314000034924";"3329770048706";"";"Yaourt à boire sucré aromatisé  "
"AUCH_ACHA_106694403";"A0220130109000548681";"5760466995894";"";"Boisson lactée au café Arabica Starbucks®, saveur caramel, stérilisée UHT."
"AUCH_ACHA_106694919";"A0220121121000045728";"3412290001822";"Produit en Bretagne;Point vert";"Crème fraîche épaisse"
"AUCH_ACHA_106695513";"A0220120912000039941";"3023290719312";"";"Dessert à base de poire, de lait et d’amandes."
"AUCH_ACHA_106696076";"A0220120619000543021";"3373960000210";"AB Agriculture biologique;Point vert";"FAISSELLE BIO 4 X 100 GR 6.5 % MG"
