"cui";"Marque commerciale eCommerce";"Libellé Web";"Quantité vendue"
"P020000000004W3";"YOP";"Yaourt à boire à la coco";"850g"
"P020000000004ZC";"CANDIA";"Grandlait Lait demi-écrémé bio";"8x1l"
"P0200000000057M";"PETITS FILOUS";"Yaourts aux fruits mixés";"18x50g"
"A0220081014000245793";"FERME COLLET";"Yaourt au lait entier sur lit de châtaigne";"2x150g"
"A0220120912000187144";"SANS MARQUE";"Gâteau de riz sur lit de caramel";"4x100g"
"A0220121126000189089";"DISCOUNT";"Crème entière  30%MG UHT";"3x20cl"
"P02000000000058";"SANS MARQUE";"Yahourt à boire saveur vanille";"180g"
"P020000000000F1";"SANS MARQUE";"Fromage blanc nature 4%";"4x100g"
"A0220151014000865388";"MICHEL ET AUGUSTIN";"Yaourt à boire à la framboise";"250ml"
"A0220040614000181829";"SANS MARQUE";"Crème fouettée légère";"242ml"
"A0220110511000181242";"DISCOUNT";"Flan au chocolat";"4x100g"
"P020000000005GU";"ACTIVIA";"Yaourt au bifidus à la mûre et à la framboise";"4x125g"
"P020000000005GW";"ACTIVIA";"Yaourt au bifidus saveur ananas";"4x125g"
"P020000000005JI";"BONNE MAMAN";"Riz au lait à la vanille";"4x100g"
"A0220070221000189583";"DISCOUNT";"Ile flottante";"2x100g"
"P020000000005KL";"LA LAITIERE";"Liégeois au yaourt sur lit de framboise";"4x100g"
"P020000000005N6";"KINDER PINGUI";"Gâteau frais au lait et chocolat coco";"4x30g"
"P020000000005SC";"AUCHAN";"Yaourt nature";"8x125g"
"P020000000005YO";"ACTIVIA";"Yaourts aux fruits bifidus ananas";"4x125g"
"P020000000005YP";"ACTIVIA";"Yaourts aux fruits bifidus abricot";"4x125g"
"P020000000006FW";"ACTIVIA";"Yaourt bifidus vanille";"4x125g"
"P020000000006GG";"AUCHAN";"Lait demi-écrémé UHT";"1l"
"P0200000000073Y";"BONNE MAMAN";"Compotée de pêches abricots et verveine";"2x130g"
"P0200000000077Z";"ACTIVIA";"Yaourt bifidus vanille";"16x125g"
"P0200000000077J";"AUCHAN BIO";"Crème dessert au chocolat filière responsable";"4x95g"
