cui,CUG,GTIN d’encaissement,product_label,photo_id,media_url
P02000000000J0O,910361,3340292025600,AUGUREAU BROYE 2X280G,MEDIASTEP78849351,https://media.auchan.fr/MEDIASTEP78849351_0x0/
A0220190326000228127,228127,3067163632391;3067163632391,CND AIGUILLETTE E.TENDRE F.SEL,MEDIASTEP76402750,https://media.auchan.fr/MEDIASTEP76402750_0x0/
A0220150727000337766,337766,8712100784415,ELEPHANT INFUSION FRAMBOISE FRAISE RHUBARBE X20 SACHETS 40G,MEDIASTEP141132509,https://media.auchan.fr/MEDIASTEP141132509_0x0/
A0220201118000864288,864288,3461180398979,DRIVE BAGUETTE CUITE 220G EMBA,MEDIASTEP121992703,https://media.auchan.fr/MEDIASTEP121992703_0x0/
A0220090529000981687,981687,5413149750425,SWIFFER LINGETTES HUMIDESCITRON X12,MEDIASTEP84637049,https://media.auchan.fr/MEDIASTEP84637049_0x0/
A0220120719000766896,766896,3036811362317,LIEBIG DOUX PLAISIRS POTIRONAU KIRI 2X1L LOT FAMILIAL,MEDIASTEP139225617,https://media.auchan.fr/MEDIASTEP139225617_0x0/
A0219990716000522702,522702,5413548040592,RAFFAELLO T18 BALLOTIN 180G,MEDIASTEP137298774,https://media.auchan.fr/MEDIASTEP137298774_0x0/
A0220141024000799886,799886,3273625814148,MADRANGE CREPINETTE DE PORC X6,MEDIASTEP77419142,https://media.auchan.fr/MEDIASTEP77419142_0x0/
A0220020304000548084,548084,3273220086070,SOJASUN STEAK TOM BASILIC X2,MEDIASTEP101704921,https://media.auchan.fr/MEDIASTEP101704921_0x0/
P0200000000094K,304427,3760266120030,BIO PETITEPOUSSE BRASSE COCO,MEDIASTEP77848142,https://media.auchan.fr/MEDIASTEP77848142_0x0/
P02000000000ZYM,269463,5449000214799,COCA COLA SANS SUCRE 33CLSLEEK,MEDIASTEP162837728,https://media.auchan.fr/MEDIASTEP162837728_0x0/
P02000000000899,295137,3392590204553,PATE SABLEE 230G,MEDIASTEP159943899,https://media.auchan.fr/MEDIASTEP159943899_0x0/
